lobbyist_name,lobbyist_abn,client_name,client_abn
A.GR Advisors Pty Ltd,56665229112,,
Aerial Geophysics & Survey Pty Ltd,80617759234,,
"Affairs of State, Aerovision Partners",34654017419,,
AKIN AGENCY PTY LTD,26624988263,,
Alex Paton Advisory,26764474411,,
Alistair Nicholas Consulting Pty Ltd,81655939852,,
Anacta Strategies Pty Ltd,64633978677,,
Anna Grosskreutz Consulting,75726352169,,
Atlas Alliance,46606084913,,
Australian Strategic Advisory,51623355377,,
Banksia Strategic Partners Pty Ltd,50660359866,,
Barton Deakin,65140067287,,
BBS Communications Group Pty Ltd,34010899779,,
BenschCo Pty Ltd,65093399618,,
Bondi Partners Advocacy Pty Ltd,68661609329,,
Bossy Group,24166898488,,
Ribcage Consulting,47244225695,,
BB Win Win Outcomes,91671079056,,
Brookline Advisory Pty Ltd,89669353477,,
Burbank Martial Pty Ltd,84652807504,,
Capetal Advisory,86615732182,,
Hemisphere East,99649180898,,
Capital K Communications,42171809583,,
Christopher Cleland Schacht,20607959606,,
Commercial Licensing Specialists,33134318595,,
Convaim,69628935133,,
Cornerstone Government Relations,99153936719,,
Corporate Affairs Advisory,99264276296,,
Correa Consulting Pty Ltd,15676001997,,
Counsel House Pty Ltd,35631919009,,
CPI Strategic Pty Ltd,47139102891,,
CPR Communications and Public Relations Pty Ltd (Melbourne),94064357544,,
Crestview Strategy,66675929343,,
CRISIS&COMMS CO,56637786899,,
CT Group (Australia) Pty Ltd,58101934454,,
culturev8 Pty Ltd,57676204238,,
DELTA ADVISORY,70667068760,,
DNS Specialist Services,84627756709,,
DPG Advisory Solutions Pty Ltd,14634403115,,
Edelman Australia Pty Ltd,40004846100,,
EH Advisory Pty Ltd,62669756763,,
Essential Media Communications Pty Ltd,48074671462,,
Fernberg Advisory,37687774296,,
Fipra Australia Pty Ltd,50078482596,,
FTI Consulting,49160397811,,
Girra-Maa Advisory Pty Ltd,73681995086,,
Goldsmith Advisory,35958117079,,
Govstrat QLD Pty Ltd,ACN:677726733ABN:66677726733,,
GR Connect Pty Ltd,40657487146,,
GRA Partners Pty Limited,56131702755,,
GRACosway Pty Ltd,50082123822,,
Gravitas PR Pty Ltd,90690932686,,
Precise Hospitality Licensing,88686752214,,
H/Advisors APA,60074901545,,
Hawker Britton,79109681405,,
Horizon GR,72652169170,,
Iemma Patterson Premier Advisory,53830148273,,
Jill Johnson Media Pty Ltd,93619527954,,
Fifty Acres - The Communications Agency,29145634224,,
Canberra BD,81797253522,,
CASTLE HILL ADVISORY,87432469065,,
JPG Advisory,95646954574,,
Kurrajong Strategic Counsel,14625954912,,
Watt Advocacy & Communications,16642238702,,
Leisure Solutions,61982432138,,
Leonis Advisory,26381028834,,
LINEBREAK PTY LTD,15690180173,,
London Agency,73145352147,,
Markstone Group Pty Ltd,61106988970,,
McCourt & Associates,37229441121,,
Media and Public Affairs Australia Pty Ltd,49622979177,,
Emerson Communications,82111865162,,
Mickel Nominees Pty Ltd,75534422577,,
Moses Corporate Affairs,35497590181,,
Mountain Ash Advisory Pty Ltd,87692365941,,
"Engagement, Advocacy and ESG",89664355702,,
National Advisory Pty Ltd,29634573363,,
Nexus APAC Pty Ltd,76615655699,,
Venture Affairs,33913200853,,
Northstar Public Affairs Pty Ltd,25638744046,,
Phronesis Strategy,33689949139,,
Precision Public Affairs,42639299415,,
PremierNational,71619450841,,
Primary Communication,36617864347,,
Principle Advisory Pty Ltd,29657059848,,
Provocate,42622384525,,
Purple,37108802366,,
PYNE AND PARTNERS,81634747363,,
Pynfall Pty Ltd,39008566943,,
Taylor Connect,39632234916,,
Red Rocket,87662027358,,
Transnational Consultancy and Training Services Pty Ltd,66092413388,,
RedBridge Group,11650587867,,
Regis Strategis,15586356533,,
Regs and Corporate Advisory Pty Ltd,14641055272,,
Res Publica Pty Ltd,63103178258,,
Richardson Coutts Pty Ltd,20126507211,,
RJS Strategic Advantage,89536266454,,
Borbidge RE,13664190920,,
Rowland. Pty Ltd,59011033364,,
Royce Comm,91167042408,,
Santoro Consulting,21131482230,,
pCOMZ Communications and Advisory,17661600504,,
SAS Group,33136520548,,
Scott Mitchell & Partners,80617178453,,
SEC Newgate,38162366056,,
Ribcage Consulting,90692497617,,
Silicon Billabong Group Pty Ltd,98646512236,,
Sling and Stone,87145965466,,
Spring Street Advisory,92603411650,,
Staerk Solutions,58678758275,,
Stower & Co Advisory Pty Ltd,56682058546,,
Telamon Consulting,54609703219,,
TG Public Affairs,23630677673,,
The Civic Partnership,71652574171,,
The PR Counsel  Pty Ltd,27611490325,,
The Premier Communications Group,73137508555,,
PolicyWonks,50463070316,,
Antinomies Advisory Ptd Ltd,35441514971,,
MCM Strategic Communications Pty Ltd,63272133108,,
Chikarovski & Associates Pty Ltd,92715851492,,
CMAX Advisory,62155922079,,
Jutsum Advisory Pty Ltd,68973583422,,
Empower Pty Ltd,33633821366,,
Thomas Communications,34556343030,,
Trojan Corporate,12859135964,,
Upstream Consulting,87620657418,,
Clean Economy Services,43635118016,,
Wilkinson Butler Pty Ltd,95164204111,,
Woodhill Communication Pty Ltd,62613694189,,
Writing and Influence,28178545907,,
York Park Group,49642775577,,
